"110年07月 2330 台積電           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/07/01","18,719,706","11,116,195,742","596.00","597.00","591.00","593.00","-2.00","20,565",
"110/07/02","19,633,718","11,562,140,245","590.00","593.00","587.00","588.00","-5.00","24,056",
"110/07/05","30,274,105","17,957,255,325","588.00","597.00","588.00","591.00","+3.00","21,836",
"110/07/06","13,830,591","8,185,167,307","595.00","596.00","589.00","592.00","+1.00","15,751",
"110/07/07","17,329,148","10,250,342,169","590.00","594.00","588.00","594.00","+2.00","18,023",
"110/07/08","21,596,183","12,733,045,117","595.00","595.00","588.00","588.00","-6.00","23,352",
"110/07/09","30,602,492","17,821,338,170","582.00","585.00","580.00","584.00","-4.00","51,232",
"110/07/12","33,011,596","19,612,592,644","595.00","597.00","590.00","593.00","+9.00","28,636",
"110/07/13","54,894,335","33,158,730,436","600.00","608.00","599.00","607.00","+14.00","60,121",
"110/07/14","39,670,241","24,276,719,505","613.00","615.00","608.00","613.00","+6.00","43,173",
"110/07/15","23,057,868","14,117,908,308","613.00","614.00","608.00","614.00","+1.00","29,913",
"110/07/16","61,882,128","36,562,482,701","591.00","595.00","588.00","589.00","-25.00","86,192",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

